manufacturer,division,vehicle_line,vehicle_class,drive_system,engine_displacement_liters,rated_horsepower,city_mpg,highway_mpg,combined_mpg,co2_grams_per_mile
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,6.2,420.0,14,17,15,432.0
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,5.3,355.0,15,19,16,408.0
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,5.3,355.0,15,18,16,408.0
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,5.3,355.0,15,18,16,413.0
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,2.7,310.0,16,17,17,377.0
General Motors LLC,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,Standard Pick-up Trucks 4WD,4-Wheel Drive,2.7,310.0,16,17,16,382.0
General Motors LLC,Chevrolet,SILVERADO 4WD ZR2,Standard Pick-up Trucks 4WD,4-Wheel Drive,6.2,420.0,14,17,15,435.0
General Motors LLC,Chevrolet,SUBURBAN 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",5.3,355.0,15,20,17,376.0
General Motors LLC,Chevrolet,SUBURBAN 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",6.2,420.0,14,20,16,393.0
General Motors LLC,Chevrolet,SUBURBAN 4WD,Standard SUV 4WD,4-Wheel Drive,5.3,355.0,15,18,16,397.0
General Motors LLC,Chevrolet,SUBURBAN 4WD,Standard SUV 4WD,4-Wheel Drive,6.2,420.0,14,18,16,425.0
General Motors LLC,Chevrolet,TAHOE 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",5.3,355.0,15,20,17,376.0
General Motors LLC,Chevrolet,TAHOE 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",6.2,420.0,14,20,16,393.0
General Motors LLC,Chevrolet,TAHOE 4WD,Standard SUV 4WD,4-Wheel Drive,5.3,355.0,15,20,17,390.0
General Motors LLC,Chevrolet,TAHOE 4WD,Standard SUV 4WD,4-Wheel Drive,5.3,355.0,14,18,16,413.0
General Motors LLC,Chevrolet,TAHOE 4WD,Standard SUV 4WD,4-Wheel Drive,6.2,420.0,14,18,16,425.0
General Motors LLC,GMC,TERRAIN AWD,Small SUV 4WD,All Wheel Drive,1.5,175.0,23,28,25,259.0
General Motors LLC,GMC,TERRAIN FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.5,175.0,24,29,26,241.0
General Motors LLC,Chevrolet,TRAILBLAZER AWD,Small SUV 4WD,All Wheel Drive,1.3,155.0,26,29,27,230.0
General Motors LLC,Chevrolet,TRAILBLAZER FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.2,137.0,30,31,30,204.0
General Motors LLC,Chevrolet,TRAILBLAZER FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.3,155.0,29,33,31,204.0
General Motors LLC,Chevrolet,TRAVERSE AWD,Standard SUV 4WD,All Wheel Drive,2.5,328.0,19,24,21,303.0
General Motors LLC,Chevrolet,TRAVERSE FWD,Standard SUV 2WD,"2-Wheel Drive, Front",2.5,328.0,20,27,23,286.0
General Motors LLC,Chevrolet,TRAVERSE LIMITED AWD,Standard SUV 4WD,All Wheel Drive,3.6,310.0,17,25,20,349.0
General Motors LLC,Chevrolet,TRAVERSE LIMITED FWD,Standard SUV 2WD,"2-Wheel Drive, Front",3.6,310.0,18,26,21,332.0
General Motors LLC,Chevrolet,TRAX,Small Station Wagons,"2-Wheel Drive, Front",1.2,137.0,28,32,30,214.0
General Motors LLC,Cadillac,XT4 AWD,Small SUV 4WD,All Wheel Drive,2.0,235.0,23,28,25,268.0
General Motors LLC,Cadillac,XT4 FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,235.0,24,29,26,254.0
General Motors LLC,Cadillac,XT5 AWD,Small SUV 4WD,All Wheel Drive,2.0,237.0,21,27,23,282.0
General Motors LLC,Cadillac,XT5 AWD,Small SUV 4WD,All Wheel Drive,3.6,310.0,18,26,21,325.0
General Motors LLC,Cadillac,XT5 FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,237.0,22,29,24,265.0
General Motors LLC,Cadillac,XT5 FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.6,310.0,19,26,21,320.0
General Motors LLC,Cadillac,XT5 HEARSE AWD,Special Purpose Vehicle 4WD,All Wheel Drive,2.0,237.0,20,23,21,315.0
General Motors LLC,Cadillac,XT5 HEARSE FWD,Special Purpose Vehicle 2WD,"2-Wheel Drive, Front",2.0,237.0,20,23,21,315.0
General Motors LLC,Cadillac,XT5 LIMO AWD,Special Purpose Vehicle 4WD,All Wheel Drive,2.0,237.0,20,23,21,315.0
General Motors LLC,Cadillac,XT5 LIMO FWD,Special Purpose Vehicle 2WD,"2-Wheel Drive, Front",2.0,237.0,20,23,21,315.0
General Motors LLC,Cadillac,XT6 AWD,Small SUV 4WD,All Wheel Drive,2.0,237.0,21,26,23,282.0
General Motors LLC,Cadillac,XT6 AWD,Small SUV 4WD,All Wheel Drive,3.6,310.0,18,25,21,332.0
General Motors LLC,Cadillac,XT6 FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,237.0,21,27,23,284.0
General Motors LLC,Cadillac,XT6 FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.6,310.0,19,26,21,320.0
General Motors LLC,GMC,YUKON 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",5.3,355.0,15,20,17,376.0
General Motors LLC,GMC,YUKON 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",6.2,420.0,14,20,16,393.0
General Motors LLC,GMC,YUKON 4WD,Standard SUV 4WD,4-Wheel Drive,5.3,355.0,15,20,17,390.0
General Motors LLC,GMC,YUKON 4WD,Standard SUV 4WD,4-Wheel Drive,6.2,420.0,14,18,16,425.0
General Motors LLC,GMC,YUKON XL 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",5.3,355.0,15,20,17,376.0
General Motors LLC,GMC,YUKON XL 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",6.2,420.0,14,19,16,413.0
General Motors LLC,GMC,YUKON XL 4WD,Standard SUV 4WD,4-Wheel Drive,5.3,355.0,15,18,16,397.0
General Motors LLC,GMC,YUKON XL 4WD,Standard SUV 4WD,4-Wheel Drive,6.2,420.0,14,18,16,425.0
Hyundai Motor Company,HYUNDAI,Elantra,Midsize Cars,"2-Wheel Drive, Front",2.0,147.0,31,40,34,192.0
Hyundai Motor Company,HYUNDAI,Elantra,Midsize Cars,"2-Wheel Drive, Front",2.0,147.0,32,41,36,182.0
Hyundai Motor Company,HYUNDAI,Elantra,Midsize Cars,"2-Wheel Drive, Front",1.6,195.0,28,35,31,216.0
Hyundai Motor Company,HYUNDAI,Elantra N,Midsize Cars,"2-Wheel Drive, Front",2.0,280.0,20,27,23,308.0
Hyundai Motor Company,HYUNDAI,Elantra N,Midsize Cars,"2-Wheel Drive, Front",2.0,280.0,21,29,24,284.0
Hyundai Motor Company,GENESIS,G70 AWD,Compact Cars,All Wheel Drive,3.3,368.0,17,26,20,358.0
Hyundai Motor Company,GENESIS,G70 AWD,Compact Cars,All Wheel Drive,2.5,300.0,20,28,23,305.0
Hyundai Motor Company,GENESIS,G70 RWD,Compact Cars,"2-Wheel Drive, Rear",3.3,368.0,18,27,21,351.0
Hyundai Motor Company,GENESIS,G70 RWD,Compact Cars,"2-Wheel Drive, Rear",2.5,300.0,21,29,24,293.0
Hyundai Motor Company,GENESIS,G80 AWD,Large Cars,All Wheel Drive,2.5,300.0,22,30,25,272.0
Hyundai Motor Company,GENESIS,G80 AWD,Large Cars,All Wheel Drive,3.5,375.0,17,25,19,369.0
Hyundai Motor Company,GENESIS,G90 AWD,Large Cars,All Wheel Drive,3.5,375.0,18,26,21,326.0
Hyundai Motor Company,GENESIS,GV70 AWD,Small SUV 4WD,All Wheel Drive,2.5,300.0,19,26,22,311.0
Hyundai Motor Company,GENESIS,GV70 AWD,Small SUV 4WD,All Wheel Drive,2.5,300.0,22,28,24,278.0
Hyundai Motor Company,GENESIS,GV70 AWD,Small SUV 4WD,All Wheel Drive,3.5,375.0,18,24,20,337.0
Hyundai Motor Company,GENESIS,GV80 AWD,Standard SUV 4WD,All Wheel Drive,2.5,300.0,20,24,22,302.0
Hyundai Motor Company,GENESIS,GV80 AWD,Standard SUV 4WD,All Wheel Drive,3.5,375.0,18,23,20,344.0
Hyundai Motor Company,HYUNDAI,Kona AWD,Small SUV 4WD,All Wheel Drive,1.6,190.0,24,29,26,244.0
Hyundai Motor Company,HYUNDAI,Kona AWD,Small SUV 4WD,All Wheel Drive,2.0,147.0,26,29,27,228.0
Hyundai Motor Company,HYUNDAI,Kona AWD,Small SUV 4WD,All Wheel Drive,2.0,147.0,27,29,28,223.0
Hyundai Motor Company,HYUNDAI,Kona FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.6,190.0,26,32,28,223.0
Hyundai Motor Company,HYUNDAI,Kona FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,147.0,28,35,31,207.0
Hyundai Motor Company,HYUNDAI,Kona FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,147.0,29,34,31,202.0
Hyundai Motor Company,HYUNDAI,Palisade AWD,Small SUV 4WD,All Wheel Drive,3.8,291.0,19,24,21,320.0
Hyundai Motor Company,HYUNDAI,Palisade FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.8,291.0,19,26,22,307.0
Hyundai Motor Company,HYUNDAI,Santa Cruz AWD,Small SUV 4WD,All Wheel Drive,2.5,191.0,21,25,23,289.0
Hyundai Motor Company,HYUNDAI,Santa Cruz AWD,Small SUV 4WD,All Wheel Drive,2.5,281.0,19,27,22,308.0
Hyundai Motor Company,HYUNDAI,Santa Cruz FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,191.0,22,26,23,272.0
Hyundai Motor Company,HYUNDAI,Santa Fe AWD,Small SUV 4WD,All Wheel Drive,2.5,281.0,20,28,23,300.0
Hyundai Motor Company,HYUNDAI,Santa Fe AWD XRT,Small SUV 4WD,All Wheel Drive,2.5,281.0,19,26,22,312.0
Hyundai Motor Company,HYUNDAI,Santa Fe FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,281.0,20,29,24,287.0
Hyundai Motor Company,HYUNDAI,Sonata AWD,Large Cars,All Wheel Drive,2.5,191.0,25,34,28,235.0
Hyundai Motor Company,HYUNDAI,Sonata FWD,Large Cars,"2-Wheel Drive, Front",2.5,191.0,25,36,29,226.0
Hyundai Motor Company,HYUNDAI,Sonata FWD,Large Cars,"2-Wheel Drive, Front",2.5,290.0,23,32,27,259.0
Hyundai Motor Company,HYUNDAI,Tucson AWD,Small SUV 4WD,All Wheel Drive,2.5,188.0,23,29,25,262.0
Hyundai Motor Company,HYUNDAI,Tucson AWD,Small SUV 4WD,All Wheel Drive,2.5,188.0,23,29,25,262.0
Hyundai Motor Company,HYUNDAI,Tucson FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,188.0,25,32,28,239.0
Hyundai Motor Company,HYUNDAI,Venue,Small SUV 2WD,"2-Wheel Drive, Front",1.6,121.0,29,33,31,212.0
Ineos Automotive Limited,IAL,Grenadier Fieldmaster Edition,Standard SUV 4WD,4-Wheel Drive,2.998,286.0,15,15,15,439.0
Ineos Automotive Limited,IAL,Grenadier Quartermaster,Standard Pick-up Trucks 4WD,4-Wheel Drive,2.998,286.0,14,14,14,469.0
Ineos Automotive Limited,IAL,Grenadier Station Wagon,Standard SUV 4WD,4-Wheel Drive,2.998,286.0,15,15,15,439.0
Ineos Automotive Limited,IAL,Grenadier Trialmaster Edition,Standard SUV 4WD,4-Wheel Drive,2.998,286.0,14,14,14,469.0
Jaguar Land Rover Limited,Land Rover,Defender 110,Standard SUV 4WD,4-Wheel Drive,2.0,400.0,18,20,19,341.0
Jaguar Land Rover Limited,Land Rover,Defender 110,Standard SUV 4WD,4-Wheel Drive,5.0,525.0,14,19,16,439.0
Jaguar Land Rover Limited,Land Rover,Defender 130,Standard SUV 4WD,4-Wheel Drive,5.0,500.0,14,19,16,443.0
Jaguar Land Rover Limited,Land Rover,Defender 90,Standard SUV 4WD,4-Wheel Drive,2.0,400.0,18,21,19,336.0
Jaguar Land Rover Limited,Land Rover,Defender 90,Standard SUV 4WD,4-Wheel Drive,5.0,525.0,15,19,16,424.0
Jaguar Land Rover Limited,Land Rover,Discovery,Standard SUV 4WD,4-Wheel Drive,2.0,400.0,19,24,21,315.0
Jaguar Land Rover Limited,Land Rover,Discovery Sport,Small SUV 4WD,All Wheel Drive,2.0,249.0,19,23,20,325.0
Jaguar Land Rover Limited,Jaguar,E-PACE,Small SUV 4WD,All Wheel Drive,2.0,249.0,20,26,23,294.0
Jaguar Land Rover Limited,Jaguar,F-PACE,Small SUV 4WD,All Wheel Drive,2.0,250.0,22,27,24,283.0
Jaguar Land Rover Limited,Jaguar,F-PACE SVR,Small SUV 4WD,All Wheel Drive,5.0,550.0,15,21,17,402.0
Jaguar Land Rover Limited,Jaguar,F-TYPE P450 AWD R-Dynamic Conv,Two Seaters,All Wheel Drive,5.0,450.0,16,24,18,372.0
Jaguar Land Rover Limited,Jaguar,F-TYPE P450 AWD R-Dynamic Coupe,Two Seaters,All Wheel Drive,5.0,450.0,16,24,18,372.0
Jaguar Land Rover Limited,Jaguar,F-TYPE P450 RWD Convertible,Two Seaters,"2-Wheel Drive, Rear",5.0,450.0,17,24,19,355.0
Jaguar Land Rover Limited,Jaguar,F-TYPE P450 RWD Coupe,Two Seaters,"2-Wheel Drive, Rear",5.0,450.0,17,24,19,355.0
Jaguar Land Rover Limited,Jaguar,F-TYPE R AWD Convertible,Two Seaters,All Wheel Drive,5.0,575.0,16,24,18,372.0
Jaguar Land Rover Limited,Jaguar,F-TYPE R AWD Coupe,Two Seaters,All Wheel Drive,5.0,575.0,16,24,18,372.0
Jaguar Land Rover Limited,Land Rover,Range Rover Evoque,Small SUV 4WD,All Wheel Drive,2.0,249.0,20,27,22,301.0
Jaguar Land Rover Limited,Land Rover,Range Rover Velar,Small SUV 4WD,All Wheel Drive,2.0,250.0,22,26,23,286.0
Jaguar Land Rover Limited,Jaguar,XF P250,Midsize Cars,"2-Wheel Drive, Rear",2.0,250.0,23,30,26,259.0
Jaguar Land Rover Limited,Jaguar,XF P300 AWD,Midsize Cars,All Wheel Drive,2.0,300.0,21,29,24,281.0
Kia Corporation,KIA,Carnival,"Special Purpose Vehicle, minivan 2WD","2-Wheel Drive, Front",3.5,290.0,19,26,22,311.0
Kia Corporation,KIA,Carnival,"Special Purpose Vehicle, minivan 2WD","2-Wheel Drive, Front",3.5,290.0,19,26,22,311.0
Kia Corporation,KIA,Forte,Midsize Cars,"2-Wheel Drive, Front",1.6,201.0,22,31,26,262.0
Kia Corporation,KIA,Forte,Midsize Cars,"2-Wheel Drive, Front",1.6,201.0,27,35,30,227.0
Kia Corporation,KIA,Forte,Midsize Cars,"2-Wheel Drive, Front",2.0,147.0,28,39,32,202.0
Kia Corporation,KIA,Forte FE,Midsize Cars,"2-Wheel Drive, Front",2.0,147.0,30,41,34,189.0
Kia Corporation,KIA,K5,Large Cars,"2-Wheel Drive, Front",1.6,180.0,27,37,31,217.0
Kia Corporation,KIA,K5,Large Cars,"2-Wheel Drive, Front",2.5,290.0,24,32,27,255.0
Kia Corporation,KIA,K5 AWD,Large Cars,All Wheel Drive,1.6,180.0,25,33,28,234.0
Kia Corporation,KIA,Seltos AWD,Small SUV 4WD,All Wheel Drive,1.6,195.0,25,27,26,248.0
Kia Corporation,KIA,Seltos AWD,Small SUV 4WD,All Wheel Drive,2.0,147.0,27,31,29,228.0
Kia Corporation,KIA,Seltos FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,147.0,28,34,31,211.0
Kia Corporation,KIA,Sorento AWD,Small SUV 4WD,All Wheel Drive,2.5,191.0,23,28,25,268.0
Kia Corporation,KIA,Sorento AWD,Small SUV 4WD,All Wheel Drive,2.5,281.0,20,27,23,295.0
Kia Corporation,KIA,Sorento FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,191.0,23,31,26,253.0
Kia Corporation,KIA,Sorento FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,281.0,20,29,23,291.0
Kia Corporation,KIA,Soul,Small Station Wagons,"2-Wheel Drive, Front",2.0,147.0,27,33,30,223.0
Kia Corporation,KIA,Soul Eco dynamics,Small Station Wagons,"2-Wheel Drive, Front",2.0,147.0,29,35,31,211.0
Kia Corporation,KIA,Sportage AWD,Small SUV 4WD,All Wheel Drive,2.5,188.0,23,26,25,271.0
Kia Corporation,KIA,Sportage FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,188.0,25,33,28,233.0
Kia Corporation,KIA,Sportage FWD,Small SUV 2WD,"2-Wheel Drive, Front",2.5,188.0,25,33,28,233.0
Kia Corporation,KIA,Sportage X-pro,Small SUV 4WD,All Wheel Drive,2.5,188.0,23,30,26,258.0
Kia Corporation,KIA,Telluride AWD,Small SUV 4WD,All Wheel Drive,3.8,291.0,18,24,20,338.0
Kia Corporation,KIA,Telluride FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.8,291.0,20,26,22,303.0
Lotus Cars Ltd,Lotus,Emira,Two Seaters,"2-Wheel Drive, Rear",3.5,400.0,16,24,19,376.0
Lotus Cars Ltd,Lotus,Emira,Two Seaters,"2-Wheel Drive, Rear",3.5,400.0,18,26,21,333.0
Lotus Cars Ltd,Lotus,Emira,Two Seaters,"2-Wheel Drive, Rear",2.0,400.0,21,30,24,286.0
"Maserati North America, Inc.",MASERATI,Ghibli Modena AWD,Midsize Cars,All Wheel Drive,3.0,424.0,17,25,20,361.0
"Maserati North America, Inc.",MASERATI,Ghibli Modena AWD,Midsize Cars,All Wheel Drive,3.0,424.0,17,25,20,361.0
"Maserati North America, Inc.",MASERATI,Ghibli Trofeo,Midsize Cars,"2-Wheel Drive, Rear",3.8,572.0,13,20,16,438.0
"Maserati North America, Inc.",MASERATI,Ghibli Trofeo,Midsize Cars,"2-Wheel Drive, Rear",3.8,572.0,13,20,16,438.0
"Maserati North America, Inc.",MASERATI,Ghibli Trofeo,Midsize Cars,"2-Wheel Drive, Rear",3.8,572.0,13,20,16,438.0
"Maserati North America, Inc.",MASERATI,Ghibli Trofeo,Midsize Cars,"2-Wheel Drive, Rear",3.8,572.0,13,20,16,438.0
"Maserati North America, Inc.",MASERATI,Grancabrio Trofeo,Subcompact Cars,All Wheel Drive,3.0,542.0,17,26,20,338.0
"Maserati North America, Inc.",MASERATI,Grancabrio Trofeo,Subcompact Cars,All Wheel Drive,3.0,542.0,17,26,20,338.0
"Maserati North America, Inc.",MASERATI,Granturismo Modena,Subcompact Cars,All Wheel Drive,3.0,483.0,18,27,21,324.0
"Maserati North America, Inc.",MASERATI,Granturismo Modena,Subcompact Cars,All Wheel Drive,3.0,483.0,18,27,21,324.0
"Maserati North America, Inc.",MASERATI,Granturismo Trofeo,Subcompact Cars,All Wheel Drive,3.0,542.0,18,27,21,324.0
"Maserati North America, Inc.",MASERATI,Granturismo Trofeo,Subcompact Cars,All Wheel Drive,3.0,542.0,18,27,21,324.0
"Maserati North America, Inc.",MASERATI,Grecale Trofeo,Small SUV 4WD,All Wheel Drive,3.0,523.0,18,25,20,332.0
"Maserati North America, Inc.",MASERATI,Grecale Trofeo,Small SUV 4WD,All Wheel Drive,3.0,523.0,18,25,20,332.0
"Maserati North America, Inc.",MASERATI,Levante GT,Standard SUV 4WD,All Wheel Drive,3.0,345.0,16,22,18,384.0
"Maserati North America, Inc.",MASERATI,Levante GT,Standard SUV 4WD,All Wheel Drive,3.0,345.0,16,22,18,384.0
"Maserati North America, Inc.",MASERATI,Levante Modena,Standard SUV 4WD,All Wheel Drive,3.0,424.0,16,22,18,384.0
"Maserati North America, Inc.",MASERATI,Levante Modena,Standard SUV 4WD,All Wheel Drive,3.0,424.0,16,22,18,384.0
"Maserati North America, Inc.",MASERATI,Levante Trofeo,Standard SUV 4WD,All Wheel Drive,3.8,572.0,13,20,16,444.0
"Maserati North America, Inc.",MASERATI,Levante Trofeo,Standard SUV 4WD,All Wheel Drive,3.8,572.0,13,20,16,444.0
"Maserati North America, Inc.",MASERATI,Levante Trofeo,Standard SUV 4WD,All Wheel Drive,3.8,572.0,13,20,16,444.0
"Maserati North America, Inc.",MASERATI,Levante Trofeo,Standard SUV 4WD,All Wheel Drive,3.8,572.0,13,20,16,444.0
"Maserati North America, Inc.",MASERATI,MC20,Two Seaters,"2-Wheel Drive, Rear",3.0,621.0,15,25,18,390.0
"Maserati North America, Inc.",MASERATI,MC20,Two Seaters,"2-Wheel Drive, Rear",3.0,621.0,15,25,18,390.0
"Maserati North America, Inc.",MASERATI,MC20 Spyder,Two Seaters,"2-Wheel Drive, Rear",3.0,621.0,15,25,18,389.0
"Maserati North America, Inc.",MASERATI,MC20 Spyder,Two Seaters,"2-Wheel Drive, Rear",3.0,621.0,15,25,18,389.0
"Maserati North America, Inc.",MASERATI,Quattroporte Modena AWD,Large Cars,All Wheel Drive,3.0,424.0,17,25,20,361.0
"Maserati North America, Inc.",MASERATI,Quattroporte Modena AWD,Large Cars,All Wheel Drive,3.0,424.0,17,25,20,361.0
Mazda Motor Corporation,MAZDA,CX-30 4WD,Small SUV 4WD,4-Wheel Drive,2.5,191.0,26,33,29,228.0
Mazda Motor Corporation,MAZDA,CX-30 4WD,Small SUV 4WD,4-Wheel Drive,2.5,227.0,22,30,25,266.0
Mazda Motor Corporation,MAZDA,CX-5 4WD,Small SUV 4WD,4-Wheel Drive,2.5,187.0,23,29,25,261.0
Mazda Motor Corporation,MAZDA,CX-5 4WD,Small SUV 4WD,4-Wheel Drive,2.5,187.0,26,31,28,236.0
Mazda Motor Corporation,MAZDA,CX-5 4WD,Small SUV 4WD,4-Wheel Drive,2.5,227.0,22,27,24,280.0
Mazda Motor Corporation,MAZDA,MAZDA CX-50 4WD,Small SUV 4WD,4-Wheel Drive,2.5,187.0,24,30,27,249.0
Mazda Motor Corporation,MAZDA,MAZDA CX-50 4WD,Small SUV 4WD,4-Wheel Drive,2.5,227.0,23,29,25,267.0
Mazda Motor Corporation,MAZDA,MAZDA3 4-Door 2WD,Compact Cars,"2-Wheel Drive, Front",2.5,191.0,27,37,31,211.0
Mazda Motor Corporation,MAZDA,MAZDA3 4-Door 4WD,Compact Cars,4-Wheel Drive,2.5,191.0,26,35,30,222.0
Mazda Motor Corporation,MAZDA,MAZDA3 4-Door 4WD,Compact Cars,4-Wheel Drive,2.5,227.0,23,32,27,251.0
Mazda Motor Corporation,MAZDA,MAZDA3 5-Door 2WD,Midsize Cars,"2-Wheel Drive, Front",2.5,191.0,26,36,30,218.0
Mazda Motor Corporation,MAZDA,MAZDA3 5-Door 2WD,Midsize Cars,"2-Wheel Drive, Front",2.5,191.0,27,35,30,216.0
Mazda Motor Corporation,MAZDA,MAZDA3 5-Door 4WD,Midsize Cars,4-Wheel Drive,2.5,191.0,26,33,29,230.0
Mazda Motor Corporation,MAZDA,MAZDA3 5-Door 4WD,Midsize Cars,4-Wheel Drive,2.5,227.0,23,31,26,253.0
Mazda Motor Corporation,MAZDA,MX-5,Two Seaters,"2-Wheel Drive, Rear",2.0,181.0,26,34,29,225.0
Mazda Motor Corporation,MAZDA,MX-5,Two Seaters,"2-Wheel Drive, Rear",2.0,181.0,26,35,29,222.0
McLaren Automotive Limited,McLaren,750S Coupe,Two Seaters,"2-Wheel Drive, Rear",4.0,740.0,15,19,17,421.0
McLaren Automotive Limited,McLaren,750S Spider,Two Seaters,"2-Wheel Drive, Rear",4.0,740.0,15,19,17,421.0
Mercedes Benz,MBX,AMG CLA 45 S 4MATIC,Compact Cars,All Wheel Drive,1.991,416.0,20,28,23,296.0
Mercedes Benz,MBX,AMG G 63,Standard SUV 4WD,4-Wheel Drive,3.982,577.0,13,16,14,521.0
Mercedes Benz,MBX,AMG G 63 4x4 Squared,Standard SUV 4WD,4-Wheel Drive,3.982,577.0,10,12,11,650.0
Mercedes Benz,MBX,AMG GT 55 4MATIC+ (coupe),Two Seaters,All Wheel Drive,3.982,469.0,13,20,16,445.0
Mercedes Benz,MBX,AMG GT 63 4MATIC+,Compact Cars,All Wheel Drive,3.982,577.0,15,21,17,398.0
Mercedes Benz,MBX,AMG GT 63 4MATIC+ (coupe),Two Seaters,All Wheel Drive,3.982,577.0,13,20,16,445.0
Mercedes Benz,MBX,AMG SL 55 4MATIC+,Minicompact Cars,All Wheel Drive,3.982,469.0,14,21,16,428.0
Mercedes Benz,MBX,AMG SL 63 4MATIC+,Minicompact Cars,All Wheel Drive,3.982,577.0,14,21,16,428.0
Mercedes Benz,MBX,G 550,Standard SUV 4WD,4-Wheel Drive,3.982,416.0,13,16,14,484.0
Mercedes Benz,MBX,Maybach S 680 4Matic,Large Cars,All Wheel Drive,5.98,621.0,12,20,15,482.0
Mitsubishi Motors Corporation,MTX,ECLIPSE CROSS 2WD,Small SUV 2WD,"2-Wheel Drive, Front",1.5,152.0,25,28,26,238.0
Mitsubishi Motors Corporation,MTX,ECLIPSE CROSS 4WD,Small SUV 4WD,4-Wheel Drive,1.5,152.0,25,26,25,249.0
Mitsubishi Motors Corporation,MTX,ECLIPSE CROSS ES 4WD,Small SUV 4WD,4-Wheel Drive,1.5,152.0,25,28,26,240.0
Mitsubishi Motors Corporation,MTX,MIRAGE,Compact Cars,"2-Wheel Drive, Front",1.2,78.0,36,43,39,159.0
Mitsubishi Motors Corporation,MTX,MIRAGE,Compact Cars,"2-Wheel Drive, Front",1.2,78.0,36,43,39,159.0
Mitsubishi Motors Corporation,MTX,MIRAGE G4,Compact Cars,"2-Wheel Drive, Front",1.2,78.0,35,41,37,168.0
Mitsubishi Motors Corporation,MTX,Outlander Sport 2WD,Small SUV 2WD,"2-Wheel Drive, Front",2.0,148.0,24,30,27,249.0
Mitsubishi Motors Corporation,MTX,Outlander Sport 4WD,Small SUV 4WD,4-Wheel Drive,2.0,148.0,23,29,26,257.0
Mitsubishi Motors Corporation,MTX,Outlander Sport 4WD,Small SUV 4WD,4-Wheel Drive,2.4,168.0,23,28,25,263.0
"Nissan Motor Co., Ltd.",NISSAN,ALTIMA,Midsize Cars,"2-Wheel Drive, Front",2.5,188.0,27,39,32,206.0
"Nissan Motor Co., Ltd.",NISSAN,ALTIMA AWD,Midsize Cars,All Wheel Drive,2.5,182.0,26,36,30,222.0
"Nissan Motor Co., Ltd.",NISSAN,ALTIMA SL/SR,Midsize Cars,"2-Wheel Drive, Front",2.5,188.0,27,37,31,211.0
"Nissan Motor Co., Ltd.",NISSAN,ALTIMA SR,Midsize Cars,"2-Wheel Drive, Front",2.0,239.0,25,34,29,230.0
"Nissan Motor Co., Ltd.",NISSAN,ARMADA 2WD,Standard SUV 2WD,"2-Wheel Drive, Rear",5.6,400.0,14,19,16,422.0
"Nissan Motor Co., Ltd.",NISSAN,ARMADA 4WD,Standard SUV 4WD,4-Wheel Drive,5.6,400.0,13,18,15,441.0
"Nissan Motor Co., Ltd.",NISSAN,ARMADA 4WD,Standard SUV 4WD,4-Wheel Drive,5.6,400.0,13,18,15,441.0
"Nissan Motor Co., Ltd.",NISSAN,FRONTIER 2WD,Standard Pick-up Trucks 2WD,"2-Wheel Drive, Rear",3.8,310.0,18,24,21,324.0
