airport_code,airport,date,month,day_of_week,scheduled_arrivals,completed_arrivals,mean_arrival_delay_min,median_arrival_delay_min,p90_arrival_delay_min,maximum_arrival_delay_min,percent_arriving_15plus_min_late,mean_departure_delay_min,mean_taxi_in_min,cancellation_percent,diversion_percent,carrier_delay_min_per_scheduled_arrival,weather_delay_min_per_scheduled_arrival,nas_delay_min_per_scheduled_arrival,security_delay_min_per_scheduled_arrival,late_aircraft_delay_min_per_scheduled_arrival
ATL,Atlanta,2025-01-01,January,Wednesday,767.0,767.0,-6.636245110821382,-13.0,15.0,867.0,10.29986962190352,3.5788787483702738,9.096479791395046,0.0,0.0,3.473272490221643,0.054758800521512385,1.1590612777053455,0.0,1.2750977835723598
ATL,Atlanta,2025-01-02,January,Thursday,946.0,942.0,-1.7707006369426752,-10.0,25.0,904.0,13.588110403397028,6.673036093418259,9.933121019108281,0.42283298097251587,0.0,2.3414376321353068,1.2463002114164905,1.160676532769556,0.026427061310782242,3.5200845665961946
ATL,Atlanta,2025-01-03,January,Friday,941.0,941.0,1.7417640807651436,-7.0,31.0,1088.0,17.959617428267798,8.679064824654622,10.383634431455897,0.0,0.0,5.256110520722635,0.4208289054197662,1.8618490967056323,0.0,3.1211477151965994
ATL,Atlanta,2025-01-04,January,Saturday,919.0,917.0,5.770992366412214,-7.0,40.0,548.0,23.882224645583424,14.386041439476553,9.632497273718649,0.2176278563656148,0.0,5.513601741022851,0.3558215451577802,2.2110990206746464,0.0957562568008705,5.828073993471165
ATL,Atlanta,2025-01-05,January,Sunday,943.0,907.0,17.363836824696804,-1.0,62.0,1144.0,29.878721058434397,20.175303197353912,10.13781697905182,3.6055143160127257,0.2120890774125133,8.509013785790032,2.186638388123012,3.468716861081654,0.0,7.519618239660658
ATL,Atlanta,2025-01-06,January,Monday,866.0,806.0,22.789081885856078,-2.0,82.0,1075.0,32.50620347394541,24.950372208436725,8.812655086848634,6.928406466512701,0.0,9.625866050808314,3.4942263279445727,5.041570438799076,0.004618937644341801,8.96189376443418
ATL,Atlanta,2025-01-07,January,Tuesday,813.0,797.0,0.14554579673776663,-10.0,30.399999999999977,468.0,16.311166875784192,9.503136762860727,9.707653701380176,1.968019680196802,0.0,3.93849938499385,0.6863468634686347,1.2742927429274293,0.0,3.990159901599016
ATL,Atlanta,2025-01-08,January,Wednesday,818.0,814.0,1.796068796068796,-10.0,20.0,1109.0,13.882063882063884,9.685503685503685,8.805896805896806,0.4889975550122249,0.0,5.893643031784841,2.8863080684596576,1.0831295843520783,0.0,2.228606356968215
ATL,Atlanta,2025-01-09,January,Thursday,859.0,809.0,0.5550061804697157,-11.0,25.0,904.0,15.080346106304079,10.11001236093943,9.139678615574784,5.820721769499418,0.0,6.227008149010477,0.8905704307334109,1.5005820721769498,0.0,2.0232828870779977
ATL,Atlanta,2025-01-10,January,Friday,867.0,204.0,268.59313725490193,286.5,514.7,1287.0,71.56862745098039,258.9656862745098,16.147058823529413,75.20184544405998,1.2687427912341407,10.121107266435986,20.536332179930795,27.359861591695502,0.0,5.52479815455594
ATL,Atlanta,2025-01-11,January,Saturday,739.0,555.0,85.41081081081082,51.0,195.0,1161.0,67.02702702702703,90.55675675675676,11.055855855855857,24.76319350473613,0.13531799729364005,24.13937753721245,3.749661705006766,8.76319350473613,0.0,29.742895805142084
ATL,Atlanta,2025-01-12,January,Sunday,865.0,850.0,38.144705882352945,17.0,107.0,1129.0,51.64705882352941,43.709411764705884,12.109411764705882,1.5028901734104045,0.23121387283236997,14.143352601156069,2.167630057803468,4.4115606936416185,0.0,20.813872832369942
ATL,Atlanta,2025-01-13,January,Monday,889.0,889.0,-0.7401574803149606,-12.0,22.200000000000045,731.0,13.385826771653544,9.678290213723285,7.829021372328459,0.0,0.0,7.116985376827897,0.7210348706411699,0.9111361079865017,0.0,2.425196850393701
ATL,Atlanta,2025-01-14,January,Tuesday,805.0,805.0,-5.074534161490683,-14.0,11.600000000000023,1121.0,8.695652173913043,3.5093167701863353,8.423602484472049,0.0,0.0,5.10807453416149,0.16024844720496895,1.8248447204968945,0.0,0.6906832298136646
ATL,Atlanta,2025-01-15,January,Wednesday,810.0,809.0,-11.69097651421508,-15.0,5.0,303.0,6.551297898640297,-0.6489493201483313,7.73176761433869,0.0,0.12345679012345678,2.1259259259259258,0.0,0.27901234567901234,0.0,0.5382716049382716
ATL,Atlanta,2025-01-16,January,Thursday,901.0,900.0,-5.115555555555556,-12.0,14.0,580.0,9.666666666666666,4.003333333333333,7.504444444444444,0.11098779134295228,0.0,3.402885682574917,0.49278579356270813,1.3251942286348501,0.022197558268590455,1.4028856825749167
ATL,Atlanta,2025-01-17,January,Friday,903.0,903.0,-9.122923588039868,-13.0,10.800000000000068,389.0,7.530454042081949,1.6500553709856036,9.74640088593577,0.0,0.0,2.053156146179402,0.0,0.4739756367663344,0.014396456256921373,1.070874861572536
ATL,Atlanta,2025-01-18,January,Saturday,732.0,730.0,-2.584931506849315,-10.0,21.0,531.0,12.602739726027398,5.038356164383561,9.391780821917807,0.273224043715847,0.0,3.1065573770491803,0.76775956284153,1.075136612021858,0.04234972677595628,2.4262295081967213
ATL,Atlanta,2025-01-19,January,Sunday,790.0,775.0,4.966451612903226,-6.0,37.0,912.0,19.612903225806452,7.409032258064516,8.619354838709677,1.89873417721519,0.0,4.208860759493671,0.49240506329113926,3.643037974683544,0.0,3.5481012658227846
ATL,Atlanta,2025-01-20,January,Monday,975.0,970.0,7.989690721649485,-5.0,50.10000000000002,523.0,25.670103092783503,15.324742268041238,8.716494845360824,0.5128205128205128,0.0,6.325128205128205,0.8020512820512821,2.1835897435897436,0.0,6.2902564102564105
ATL,Atlanta,2025-01-21,January,Tuesday,891.0,737.0,43.305291723202174,7.0,145.79999999999995,1040.0,41.11261872455903,36.42876526458616,15.674355495251017,17.059483726150393,0.22446689113355783,7.885521885521886,5.035914702581369,19.23905723905724,0.0,6.832772166105499
ATL,Atlanta,2025-01-22,January,Wednesday,871.0,638.0,66.27115987460814,35.0,188.0,648.0,61.59874608150471,72.82758620689656,13.380877742946709,25.947187141216993,0.8036739380022963,6.794489092996556,3.219288174512055,14.594718714121699,0.0,26.12743972445465
ATL,Atlanta,2025-01-23,January,Thursday,963.0,912.0,8.150219298245615,-6.0,43.0,584.0,22.039473684210524,14.444078947368421,8.536184210526315,5.29595015576324,0.0,6.280373831775701,0.7320872274143302,1.3707165109034267,0.0,6.568016614745587
ATL,Atlanta,2025-01-24,January,Friday,967.0,959.0,-1.7956204379562044,-11.0,27.0,672.0,14.80709071949948,6.8383733055265905,8.372262773722628,0.8273009307135472,0.0,3.1489141675284387,1.297828335056877,1.2233712512926578,0.0,3.3402275077559462
ATL,Atlanta,2025-01-25,January,Saturday,748.0,748.0,-9.053475935828876,-16.0,15.0,623.0,10.294117647058822,1.8368983957219251,8.244652406417112,0.0,0.0,2.949197860962567,0.42513368983957217,1.5133689839572193,0.0053475935828877,0.9131016042780749
ATL,Atlanta,2025-01-26,January,Sunday,968.0,968.0,-8.62190082644628,-15.0,9.0,701.0,8.057851239669422,3.3068181818181817,8.527892561983471,0.0,0.0,2.5671487603305785,0.32541322314049587,0.2882231404958678,0.0,2.490702479338843
ATL,Atlanta,2025-01-27,January,Monday,939.0,938.0,-5.09275053304904,-11.0,13.0,557.0,9.381663113006397,2.363539445628998,9.637526652452026,0.0,0.10649627263045794,3.450479233226837,0.03301384451544196,0.9424920127795527,0.03727369542066028,1.3407880724174654
ATL,Atlanta,2025-01-28,January,Tuesday,855.0,855.0,-9.332163742690058,-16.0,12.600000000000023,517.0,9.35672514619883,2.325146198830409,9.519298245614035,0.0,0.0,3.1871345029239766,0.014035087719298246,0.39649122807017545,0.017543859649122806,2.1941520467836257
ATL,Atlanta,2025-01-29,January,Wednesday,858.0,856.0,-10.186915887850468,-17.0,7.0,894.0,6.658878504672897,0.580607476635514,8.438084112149532,0.2331002331002331,0.0,3.403263403263403,0.5874125874125874,0.662004662004662,0.022144522144522144,0.8892773892773893
ATL,Atlanta,2025-01-30,January,Thursday,936.0,924.0,-5.4935064935064934,-13.0,16.0,458.0,10.38961038961039,3.227272727272727,9.806277056277056,1.282051282051282,0.0,3.84508547008547,0.22008547008547008,0.7104700854700855,0.0,1.5512820512820513
ATL,Atlanta,2025-01-31,January,Friday,939.0,935.0,3.809625668449198,-7.0,28.0,1029.0,17.11229946524064,8.590374331550802,9.171122994652407,0.3194888178913738,0.10649627263045794,6.989350372736954,0.43130990415335463,1.3503727369542067,0.0,2.6389776357827475
ATL,Atlanta,2025-02-01,February,Saturday,741.0,739.0,-10.897158322056834,-18.0,5.0,552.0,7.307171853856563,2.253044654939107,8.719891745602165,0.1349527665317139,0.1349527665317139,2.7908232118758436,0.3765182186234818,0.38596491228070173,0.0,1.7098515519568152
ATL,Atlanta,2025-02-02,February,Sunday,939.0,937.0,-7.452508004268943,-16.0,14.0,691.0,9.925293489861259,4.273212379935966,9.500533617929563,0.21299254526091588,0.0,3.862619808306709,0.7667731629392971,0.7294994675186368,0.05218317358892439,1.7135250266240682
ATL,Atlanta,2025-02-03,February,Monday,935.0,934.0,-7.157387580299786,-14.0,19.0,321.0,11.349036402569594,2.9464668094218416,9.937901498929337,0.0,0.10695187165775401,2.471657754010695,0.5957219251336898,1.2342245989304812,0.0,2.0844919786096257
ATL,Atlanta,2025-02-04,February,Tuesday,856.0,856.0,-11.91822429906542,-18.5,2.0,991.0,5.724299065420561,0.8621495327102804,8.827102803738319,0.0,0.0,4.246495327102804,0.035046728971962614,0.19976635514018692,0.0,1.185747663551402
ATL,Atlanta,2025-02-05,February,Wednesday,858.0,857.0,-11.116686114352392,-17.0,5.0,362.0,6.76779463243874,-0.5052508751458576,8.991831971995332,0.11655011655011654,0.0,1.5466200466200466,0.479020979020979,0.8333333333333334,0.0,1.8403263403263403
ATL,Atlanta,2025-02-06,February,Thursday,944.0,939.0,2.4813631522896697,-10.0,35.0,663.0,16.826411075612356,10.466453674121405,9.142705005324814,0.423728813559322,0.1059322033898305,4.908898305084746,1.4703389830508475,1.5402542372881356,0.0,4.570974576271187
ATL,Atlanta,2025-02-07,February,Friday,951.0,950.0,-7.485263157894737,-15.0,12.100000000000023,431.0,9.368421052631579,3.9326315789473685,8.92421052631579,0.10515247108307045,0.0,3.1882229232386963,0.4468980021030494,0.4616193480546793,0.029442691903259727,2.260778128286015
ATL,Atlanta,2025-02-08,February,Saturday,743.0,741.0,-9.83940620782726,-16.0,8.0,542.0,7.28744939271255,1.5654520917678811,7.757085020242915,0.2691790040376851,0.0,3.4724091520861373,0.5868102288021534,0.765814266487214,0.0,0.414535666218035
ATL,Atlanta,2025-02-09,February,Sunday,788.0,786.0,-2.421119592875318,-13.0,24.5,676.0,12.72264631043257,7.3346055979643765,8.162849872773537,0.25380710659898476,0.0,4.116751269035533,0.5596446700507615,1.4225888324873097,0.0,3.7753807106598987
ATL,Atlanta,2025-02-10,February,Monday,955.0,955.0,-5.686910994764398,-14.0,14.0,788.0,9.63350785340314,3.886910994764398,10.08586387434555,0.0,0.0,3.7780104712041886,0.031413612565445025,1.2146596858638743,0.0,2.106806282722513
ATL,Atlanta,2025-02-11,February,Tuesday,859.0,849.0,9.113074204946997,-3.0,46.0,853.0,26.61955241460542,7.230859835100118,9.318021201413428,1.1641443538998837,0.0,4.89755529685681,1.4377182770663561,5.556461001164144,0.0,2.9965075669383006
ATL,Atlanta,2025-02-12,February,Wednesday,875.0,867.0,31.763552479815456,14.0,87.19999999999993,1178.0,49.48096885813148,23.470588235294116,10.200692041522492,0.9142857142857144,0.0,8.372571428571428,2.169142857142857,14.02742857142857,0.0,9.470857142857144
ATL,Atlanta,2025-02-13,February,Thursday,989.0,983.0,22.98880976602238,4.0,71.80000000000007,910.0,38.046795523906404,24.670396744659207,9.447609359104781,0.5055611729019212,0.10111223458038424,8.183013144590495,1.8382204246713851,4.790697674418604,0.0,12.146612740141558
ATL,Atlanta,2025-02-14,February,Friday,990.0,987.0,15.75886524822695,-2.0,58.799999999999955,1099.0,28.87537993920973,21.565349544072948,12.752786220871327,0.20202020202020202,0.10101010101010101,8.514141414141415,0.47575757575757577,2.4484848484848483,0.015151515151515152,10.497979797979799
ATL,Atlanta,2025-02-15,February,Saturday,783.0,772.0,30.607512953367877,11.0,81.0,1112.0,45.07772020725388,24.830310880829014,11.13341968911917,0.6385696040868455,0.7662835249042145,10.367816091954023,0.8531289910600255,9.551724137931034,0.0,12.104725415070243
ATL,Atlanta,2025-02-16,February,Sunday,816.0,791.0,51.280657395701645,15.0,165.0,907.0,51.32743362831859,52.38685208596713,9.283185840707965,2.941176470588235,0.12254901960784313,14.256127450980392,3.6875,10.794117647058824,0.0,24.939950980392158
ATL,Atlanta,2025-02-17,February,Monday,990.0,974.0,18.481519507186857,-4.0,79.0,913.0,29.97946611909651,26.880903490759753,9.573921971252567,1.6161616161616161,0.0,10.36969696969697,0.6131313131313131,2.9363636363636365,0.08686868686868687,11.444444444444445
ATL,Atlanta,2025-02-18,February,Tuesday,913.0,901.0,8.738068812430633,-8.0,44.0,1026.0,21.53163152053274,15.724750277469479,9.13984461709212,0.9857612267250823,0.32858707557502737,5.9890470974808325,1.9923329682365827,2.0021905805038336,0.0,7.355969331872946
ATL,Atlanta,2025-02-19,February,Wednesday,907.0,893.0,17.754759238521835,0.0,61.0,1017.0,30.90705487122061,19.059350503919372,9.379619260918252,1.4332965821389196,0.11025358324145534,8.727673649393605,1.6968026460859977,3.9955898566703416,0.0,7.962513781697905
ATL,Atlanta,2025-02-20,February,Thursday,988.0,982.0,11.495926680244398,-2.0,54.89999999999998,440.0,28.615071283095723,15.295315682281059,10.409368635437882,0.6072874493927125,0.0,4.411943319838056,0.41295546558704455,3.8704453441295548,0.018218623481781375,8.832995951417004
ATL,Atlanta,2025-02-21,February,Friday,990.0,989.0,-0.18099089989888775,-8.0,25.0,401.0,16.076845298281093,7.665318503538928,11.435793731041455,0.10101010101010101,0.0,3.317171717171717,0.6282828282828283,1.1898989898989898,0.0,3.48989898989899
ATL,Atlanta,2025-02-22,February,Saturday,790.0,786.0,-3.0483460559796436,-12.5,21.0,845.0,12.849872773536896,6.557251908396947,8.407124681933842,0.37974683544303794,0.12658227848101267,5.644303797468354,0.33544303797468356,1.150632911392405,0.0,1.9151898734177215
ATL,Atlanta,2025-02-23,February,Sunday,982.0,981.0,-3.867482161060143,-12.0,18.0,816.0,11.009174311926607,5.766564729867482,8.509683995922527,0.10183299389002036,0.0,4.627291242362525,0.008146639511201629,1.2851323828920571,0.0,1.9490835030549898
ATL,Atlanta,2025-02-24,February,Monday,989.0,987.0,-4.740628166160081,-11.0,19.399999999999977,486.0,13.069908814589665,6.45694022289767,10.341438703140831,0.20222446916076847,0.0,4.294236602628918,0.20626895854398383,0.788675429726997,0.07280080889787664,2.24469160768453
ATL,Atlanta,2025-02-25,February,Tuesday,904.0,904.0,-12.606194690265486,-18.0,5.7000000000000455,432.0,6.3053097345132745,0.8628318584070797,9.130530973451327,0.0,0.0,1.3672566371681416,0.12721238938053098,0.2334070796460177,0.0,2.478982300884956
ATL,Atlanta,2025-02-26,February,Wednesday,904.0,902.0,-13.019955654101995,-18.5,1.0,828.0,4.878048780487805,0.6441241685144125,9.529933481152993,0.11061946902654868,0.11061946902654868,2.3871681415929205,0.06747787610619468,0.18141592920353983,0.0,1.836283185840708
ATL,Atlanta,2025-02-27,February,Thursday,990.0,988.0,-4.293522267206478,-13.0,16.300000000000068,770.0,10.62753036437247,5.343117408906883,9.410931174089068,0.20202020202020202,0.0,4.9363636363636365,0.10404040404040404,0.9464646464646465,0.0,2.0131313131313133
ATL,Atlanta,2025-02-28,February,Friday,989.0,987.0,-7.869300911854103,-13.0,13.0,344.0,9.118541033434651,1.9625126646403241,10.659574468085106,0.10111223458038424,0.10111223458038424,2.1031344792719917,0.0,0.6572295247724975,0.0,2.0313447927199193
ATL,Atlanta,2025-03-01,March,Saturday,788.0,786.0,-8.15267175572519,-15.0,12.0,580.0,9.033078880407125,2.059796437659033,9.001272264631043,0.0,0.25380710659898476,2.934010152284264,0.0,1.0736040609137056,0.0,1.3248730964467006
ATL,Atlanta,2025-03-02,March,Sunday,981.0,979.0,-5.800817160367722,-14.0,16.0,491.0,10.316649642492338,6.114402451481103,9.150153217568947,0.10193679918450561,0.10193679918450561,3.650356778797146,0.08053007135575943,0.4709480122324159,0.0,3.5168195718654434
ATL,Atlanta,2025-03-03,March,Monday,985.0,979.0,-8.484167517875383,-15.0,12.0,925.0,9.397344228804902,2.257405515832482,11.84167517875383,0.6091370558375634,0.0,2.7979695431472082,0.20101522842639594,0.6751269035532995,0.0,2.1604060913705583
ATL,Atlanta,2025-03-04,March,Tuesday,898.0,888.0,4.9391891891891895,-12.5,26.0,1021.0,14.301801801801803,11.89527027027027,9.679054054054054,1.0022271714922049,0.11135857461024498,6.167037861915367,3.866369710467706,1.3195991091314032,0.0,4.9075723830734965
ATL,Atlanta,2025-03-05,March,Wednesday,907.0,900.0,12.197777777777778,-9.0,60.200000000000045,1136.0,21.777777777777775,18.785555555555554,9.3,0.6615214994487321,0.11025358324145534,6.056229327453142,3.2943770672546857,2.2635060639470783,0.0,9.470782800441015
ATL,Atlanta,2025-03-06,March,Thursday,993.0,991.0,-4.453077699293643,-12.0,20.0,648.0,12.815338042381432,7.606458123107972,9.149344096871847,0.10070493454179255,0.10070493454179255,3.4501510574018126,0.5659617321248741,1.0563947633434039,0.06243705941591138,3.0191339375629407
ATL,Atlanta,2025-03-07,March,Friday,992.0,992.0,-6.69758064516129,-13.0,19.0,303.0,11.794354838709678,3.816532258064516,10.152217741935484,0.0,0.0,1.7731854838709677,0.3064516129032258,1.0161290322580645,0.0,2.7076612903225805
ATL,Atlanta,2025-03-08,March,Saturday,790.0,787.0,-6.002541296060991,-14.0,18.399999999999977,355.0,11.30876747141042,3.400254129606099,8.800508259212199,0.37974683544303794,0.0,3.8974683544303796,0.07468354430379746,1.2670886075949368,0.0,1.7265822784810128
ATL,Atlanta,2025-03-09,March,Sunday,1006.0,1001.0,11.671328671328672,0.0,44.0,862.0,25.674325674325676,11.729270729270729,10.23076923076923,0.4970178926441352,0.0,5.8717693836978135,0.6759443339960238,3.482107355864811,0.0,5.6252485089463224
ATL,Atlanta,2025-03-10,March,Monday,1020.0,1018.0,2.8899803536345776,-4.0,31.0,397.0,18.664047151277014,7.0216110019646365,9.713163064833006,0.19607843137254902,0.0,2.861764705882353,0.3872549019607843,2.3362745098039217,0.05196078431372549,4.203921568627451
ATL,Atlanta,2025-03-11,March,Tuesday,960.0,957.0,-10.114942528735632,-16.0,7.399999999999977,271.0,7.210031347962382,0.9487983281086729,8.675026123301985,0.3125,0.0,2.685416666666667,0.0,0.178125,0.0,2.009375
ATL,Atlanta,2025-03-12,March,Wednesday,958.0,958.0,-7.170146137787056,-14.0,11.0,915.0,8.037578288100208,1.3778705636743216,9.876826722338205,0.0,0.0,2.3768267223382047,0.10647181628392484,0.6315240083507306,0.0,2.2463465553235906
ATL,Atlanta,2025-03-13,March,Thursday,1025.0,1020.0,-3.2715686274509803,-12.0,20.0,517.0,12.647058823529411,6.493137254901961,8.812745098039215,0.3902439024390244,0.0975609756097561,2.975609756097561,0.1795121951219512,0.6936585365853658,0.0,4.19219512195122
ATL,Atlanta,2025-03-14,March,Friday,1023.0,1019.0,-0.2296368989205103,-11.0,23.0,1088.0,12.659470068694798,8.646712463199215,9.470068694798822,0.2932551319648094,0.09775171065493646,4.325513196480938,1.2238514173998045,0.4887585532746823,0.0,3.8240469208211145
ATL,Atlanta,2025-03-15,March,Saturday,865.0,847.0,29.96340023612751,7.0,93.0,1052.0,42.502951593860686,23.25029515938607,10.969303423848878,0.9248554913294799,1.1560693641618496,8.289017341040463,4.4705202312138725,10.589595375722544,0.0,9.899421965317918
